Department,Districts,Monthregister,Fund,Rangeincome,Register
SMA-IPS,KABUPATEN KUBU RAYA,February,ORANG TUA,> 5.000.000,Y
SMK AKUNTANSI,KABUPATEN KETAPANG,February,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,February,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN SANGGAU,February,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,February,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,February,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KETAPANG,February,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN LANDAK,February,ORANG TUA,1.000.001 - 1.500.000,Y
SMA-IPS,KABUPATEN LANDAK,February,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN LANDAK,February,ORANG TUA,> 5.000.000,N
STM-MESIN,KOTA PONTIANAK,February,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,February,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,February,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPS,KABUPATEN BENGKAYANG,February,ORANG TUA,3.000.001 - 5.000.000,N
SMEA,KABUPATEN SEKADAU,February,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KAPUAS HULU,February,ORANG TUA,1.000.001 - 1.500.000,N
STM-MESIN,KOTA PONTIANAK,February,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN LANDAK,February,BEKERJA SENDIRI,500.001 - 1.000.000,Y
PAKET C,KABUPATEN KUBU RAYA,February,TUGAS BELAJAR,< 500.000,N
SMA-IPS,KABUPATEN SANGGAU,February,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SINTANG,February,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KOTA SINGKAWANG,February,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN BENGKAYANG,February,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPA,KABUPATEN BENGKAYANG,February,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KUBU RAYA,February,ORANG TUA,1.500.001 - 2.000.000,N
SMK PERTANIAN,KABUPATEN SAMBAS,February,BEKERJA SENDIRI,< 500.000,N
SMK-MEKANIK,KOTA PONTIANAK,February,ORANG TUA,3.000.001 - 5.000.000,Y
PAKET C,KABUPATEN KUBU RAYA,February,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,February,ORANG TUA,> 5.000.000,N
MA IPA,KABUPATEN MELAWI,February,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SANGGAU,February,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,February,ORANG TUA,< 500.000,N
SMK INFORMATIKA,KABUPATEN KAPUAS HULU,February,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,February,ORANG TUA,< 500.000,Y
SMK BISNIS MANAJEMEN,KOTA PONTIANAK,February,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,February,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,February,ORANG TUA,3.000.001 - 5.000.000,Y
STM-MESIN,KOTA PONTIANAK,February,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,February,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN SAMBAS,February,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,February,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN SEKADAU,February,ORANG TUA,500.001 - 1.000.000,Y
SMK PERTANIAN,KABUPATEN KAYONG UTARA,February,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN KAYONG UTARA,February,BEASISWA,< 500.000,Y
STM-PERIKANAN,KABUPATEN KUBU RAYA,February,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KOTA PONTIANAK,February,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,February,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,February,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN BENGKAYANG,February,ORANG TUA,< 500.000,N
SMA-IPA,KOTA PONTIANAK,February,ORANG TUA,> 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,February,ORANG TUA,2.000.001 - 3.000.000,N
STM-PERIKANAN,KABUPATEN KUBU RAYA,February,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,February,ORANG TUA,500.001 - 1.000.000,N
SMK BISNIS MANAJEMEN,KABUPATEN KAPUAS HULU,February,ORANG TUA,< 500.000,N
SMA-BAHASA,KABUPATEN BENGKAYANG,February,ORANG TUA,500.001 - 1.000.000,N
MA IPA,KOTA SINGKAWANG,March,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN SINTANG,March,ORANG TUA,> 5.000.000,N
SMK KESJ. MASYARAKAT,KABUPATEN MEMPAWAH,March,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,March,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN BENGKAYANG,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN SAMBAS,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN MEMPAWAH,March,ORANG TUA,> 5.000.000,Y
SMK AKUNTANSI,KABUPATEN KETAPANG,March,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,March,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPA,KABUPATEN KAYONG UTARA,March,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN LANDAK,March,ORANG TUA,1.000.001 - 1.500.000,Y
SPP-SMF,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,March,ORANG TUA,> 5.000.000,Y
SMA-IPS,KABUPATEN SAMBAS,March,ORANG TUA,1.000.001 - 1.500.000,N
PAKET C,KABUPATEN SAMBAS,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN MELAWI,March,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN KAYONG UTARA,March,ORANG TUA,500.001 - 1.000.000,Y
STM-PERIKANAN,KABUPATEN SAMBAS,March,ORANG TUA,500.001 - 1.000.000,Y
STM-PERIKANAN,KABUPATEN SAMBAS,March,ORANG TUA,500.001 - 1.000.000,Y
SMA-IPS,KOTA PONTIANAK,March,ORANG TUA,< 500.000,Y
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,3.000.001 - 5.000.000,N
SMK-MEKANIK,KABUPATEN KETAPANG,March,ORANG TUA,< 500.000,N
SMA-IPS,KABUPATEN BENGKAYANG,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,Y
STM-PERIKANAN,KABUPATEN SAMBAS,March,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN LANDAK,March,ORANG TUA,< 500.000,N
SMKA,KOTA PONTIANAK,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN LANDAK,March,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,1.000.001 - 1.500.000,Y
SMK PARIWISATA,KOTA PONTIANAK,March,ORANG TUA,> 5.000.000,Y
SMA-IPS,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,1.500.001 - 2.000.000,Y
SMA-IPS,KABUPATEN KETAPANG,March,ORANG TUA,3.000.001 - 5.000.000,Y
SMK INFORMATIKA,KABUPATEN SINTANG,March,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN SINTANG,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SINTANG,March,ORANG TUA,3.000.001 - 5.000.000,Y
STM-MESIN,KOTA PONTIANAK,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN SAMBAS,March,ORANG TUA,2.000.001 - 3.000.000,Y
MA IPA,KOTA SINGKAWANG,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA PONTIANAK,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,< 500.000,N
MA IPA,KOTA SINGKAWANG,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPA,KABUPATEN KETAPANG,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KOTA SINGKAWANG,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,March,ORANG TUA,500.001 - 1.000.000,N
SMA-IPS,KABUPATEN KETAPANG,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KABUPATEN KETAPANG,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN LANDAK,March,ORANG TUA,1.000.001 - 1.500.000,Y
SMK TEKNIK INDUSTRI,KOTA PONTIANAK,March,ORANG TUA,2.000.001 - 3.000.000,N
MA IPA,KABUPATEN SANGGAU,March,ORANG TUA,2.000.001 - 3.000.000,N
MA IPA,KABUPATEN SANGGAU,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,March,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN MEMPAWAH,March,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPA,KABUPATEN SANGGAU,March,ORANG TUA,< 500.000,N
SMA-IPA,KABUPATEN MEMPAWAH,March,ORANG TUA,> 5.000.000,Y
SMA-IPA,KABUPATEN SINTANG,March,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,March,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KOTA SINGKAWANG,March,ORANG TUA,> 5.000.000,N
MA IPA,KABUPATEN SANGGAU,March,ORANG TUA,2.000.001 - 3.000.000,N
PAKET C,KABUPATEN SAMBAS,April,ORANG TUA,3.000.001 - 5.000.000,N
MA IPA,KABUPATEN SANGGAU,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN MELAWI,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SANGGAU,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KABUPATEN KETAPANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KUBU RAYA,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA SINGKAWANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPS,KABUPATEN KAPUAS HULU,April,ORANG TUA,1.000.001 - 1.500.000,Y
STM-PEMBANGUNAN,KOTA SINGKAWANG,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPS,KABUPATEN SINTANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN KAPUAS HULU,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KOTA SINGKAWANG,April,ORANG TUA,3.000.001 - 5.000.000,Y
SMA-IPA,KABUPATEN SAMBAS,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SAMBAS,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPS,KABUPATEN KUBU RAYA,April,ORANG TUA,500.001 - 1.000.000,N
SMA-IPA,KABUPATEN SANGGAU,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,< 500.000,N
MA IPA,KOTA SINGKAWANG,April,ORANG TUA,1.500.001 - 2.000.000,N
MA IPA,KOTA SINGKAWANG,April,ORANG TUA,< 500.000,N
SPK KEPERAWATAN,KOTA PONTIANAK,April,ORANG TUA,3.000.001 - 5.000.000,N
SMA-IPA,KABUPATEN KAPUAS HULU,April,ORANG TUA,1.500.001 - 2.000.000,N
SMA-IPA,KOTA PONTIANAK,April,ORANG TUA,1.000.001 - 1.500.000,N
SMA-IPS,KOTA PONTIANAK,April,ORANG TUA,2.000.001 - 3.000.000,Y
SMA-IPS,KABUPATEN MEMPAWAH,April,ORANG TUA,3.000.001 - 5.000.000,N
MA IPS,KABUPATEN MEMPAWAH,April,ORANG TUA,> 5.000.000,N
SMA-IPA,KABUPATEN BENGKAYANG,April,ORANG TUA,500.001 - 1.000.000,N
SMA-BAHASA,KABUPATEN BENGKAYANG,April,ORANG TUA,2.000.001 - 3.000.000,N
SMA-IPA,KABUPATEN SEKADAU,April,ORANG TUA,3.000.001 - 5.000.000,Y
MA IPA,KABUPATEN KUBU RAYA,April,ORANG TUA,1.000.001 - 1.500.000,N
SMK PARIWISATA,KOTA SINGKAWANG,April,ORANG TUA,1.500.001 - 2.000.000,N
